,date,msPlayed,sPlayed,Day_of_Week,Weekdays,year,month,heat
0,2020-09-17,8673232,8673.231999999998,Thursday,Weekday,2020,09,1
1,2020-09-18,10823254,10823.254000000004,Friday,Weekday,2020,09,1
2,2020-09-19,8206771,8206.771000000002,Saturday,Weekend,2020,09,1
3,2020-09-20,6578224,6578.224000000007,Sunday,Weekend,2020,09,1
4,2020-09-21,12646517,12646.517,Monday,Weekday,2020,09,1
5,2020-09-22,11351665,11351.665000000012,Tuesday,Weekday,2020,09,1
6,2020-09-23,6160810,6160.81,Wednesday,Weekday,2020,09,1
7,2020-09-24,4788675,4788.674999999999,Thursday,Weekday,2020,09,1
8,2020-09-25,4520727,4520.727000000001,Friday,Weekday,2020,09,1
9,2020-09-26,7038553,7038.553000000003,Saturday,Weekend,2020,09,1
10,2020-09-27,5639592,5639.592,Sunday,Weekend,2020,09,1
11,2020-09-28,12276341,12276.34100000001,Monday,Weekday,2020,09,1
12,2020-09-29,0,0.0,Tuesday,Weekday,2020,09,1
13,2020-09-30,183229,183.229,Wednesday,Weekday,2020,09,1
14,2020-10-01,0,0.0,Thursday,Weekday,2020,10,0
15,2020-10-02,0,0.0,Friday,Weekday,2020,10,0
16,2020-10-03,0,0.0,Saturday,Weekend,2020,10,0
17,2020-10-04,0,0.0,Sunday,Weekend,2020,10,0
18,2020-10-05,70484,70.484,Monday,Weekday,2020,10,0
19,2020-10-06,0,0.0,Tuesday,Weekday,2020,10,0
20,2020-10-07,0,0.0,Wednesday,Weekday,2020,10,0
21,2020-10-08,0,0.0,Thursday,Weekday,2020,10,0
22,2020-10-09,0,0.0,Friday,Weekday,2020,10,0
23,2020-10-10,0,0.0,Saturday,Weekend,2020,10,0
24,2020-10-11,0,0.0,Sunday,Weekend,2020,10,0
25,2020-10-12,0,0.0,Monday,Weekday,2020,10,0
26,2020-10-13,0,0.0,Tuesday,Weekday,2020,10,0
27,2020-10-14,0,0.0,Wednesday,Weekday,2020,10,0
28,2020-10-15,0,0.0,Thursday,Weekday,2020,10,0
29,2020-10-16,0,0.0,Friday,Weekday,2020,10,0
30,2020-10-17,0,0.0,Saturday,Weekend,2020,10,0
31,2020-10-18,444503,444.503,Sunday,Weekend,2020,10,0
32,2020-10-19,0,0.0,Monday,Weekday,2020,10,0
33,2020-10-20,221451,221.451,Tuesday,Weekday,2020,10,0
34,2020-10-21,0,0.0,Wednesday,Weekday,2020,10,0
35,2020-10-22,0,0.0,Thursday,Weekday,2020,10,0
36,2020-10-23,0,0.0,Friday,Weekday,2020,10,0
37,2020-10-24,0,0.0,Saturday,Weekend,2020,10,0
38,2020-10-25,0,0.0,Sunday,Weekend,2020,10,0
39,2020-10-26,0,0.0,Monday,Weekday,2020,10,0
40,2020-10-27,0,0.0,Tuesday,Weekday,2020,10,0
41,2020-10-28,0,0.0,Wednesday,Weekday,2020,10,0
42,2020-10-29,0,0.0,Thursday,Weekday,2020,10,0
43,2020-10-30,0,0.0,Friday,Weekday,2020,10,0
44,2020-10-31,0,0.0,Saturday,Weekend,2020,10,0
45,2020-11-01,0,0.0,Sunday,Weekend,2020,11,0
46,2020-11-02,0,0.0,Monday,Weekday,2020,11,0
47,2020-11-03,0,0.0,Tuesday,Weekday,2020,11,0
48,2020-11-04,0,0.0,Wednesday,Weekday,2020,11,0
49,2020-11-05,0,0.0,Thursday,Weekday,2020,11,0
50,2020-11-06,0,0.0,Friday,Weekday,2020,11,0
51,2020-11-07,0,0.0,Saturday,Weekend,2020,11,0
52,2020-11-08,0,0.0,Sunday,Weekend,2020,11,0
53,2020-11-09,0,0.0,Monday,Weekday,2020,11,0
54,2020-11-10,0,0.0,Tuesday,Weekday,2020,11,0
55,2020-11-11,0,0.0,Wednesday,Weekday,2020,11,0
56,2020-11-12,0,0.0,Thursday,Weekday,2020,11,0
57,2020-11-13,0,0.0,Friday,Weekday,2020,11,0
58,2020-11-14,0,0.0,Saturday,Weekend,2020,11,0
59,2020-11-15,0,0.0,Sunday,Weekend,2020,11,0
60,2020-11-16,0,0.0,Monday,Weekday,2020,11,0
61,2020-11-17,0,0.0,Tuesday,Weekday,2020,11,0
62,2020-11-18,0,0.0,Wednesday,Weekday,2020,11,0
63,2020-11-19,0,0.0,Thursday,Weekday,2020,11,0
64,2020-11-20,0,0.0,Friday,Weekday,2020,11,0
65,2020-11-21,0,0.0,Saturday,Weekend,2020,11,0
66,2020-11-22,0,0.0,Sunday,Weekend,2020,11,0
67,2020-11-23,0,0.0,Monday,Weekday,2020,11,0
68,2020-11-24,0,0.0,Tuesday,Weekday,2020,11,0
69,2020-11-25,0,0.0,Wednesday,Weekday,2020,11,0
70,2020-11-26,0,0.0,Thursday,Weekday,2020,11,0
71,2020-11-27,0,0.0,Friday,Weekday,2020,11,0
72,2020-11-28,0,0.0,Saturday,Weekend,2020,11,0
73,2020-11-29,0,0.0,Sunday,Weekend,2020,11,0
74,2020-11-30,3733,3.733,Monday,Weekday,2020,11,0
75,2020-12-01,0,0.0,Tuesday,Weekday,2020,12,0
76,2020-12-02,6500526,6500.526000000002,Wednesday,Weekday,2020,12,0
77,2020-12-03,13789926,13789.925999999992,Thursday,Weekday,2020,12,0
78,2020-12-04,4894877,4894.877,Friday,Weekday,2020,12,0
79,2020-12-05,11762951,11762.951000000005,Saturday,Weekend,2020,12,0
80,2020-12-06,8078892,8078.892000000012,Sunday,Weekend,2020,12,0
81,2020-12-07,12663643,12663.642999999998,Monday,Weekday,2020,12,0
82,2020-12-08,4179775,4179.775000000002,Tuesday,Weekday,2020,12,0
83,2020-12-09,3816487,3816.487000000001,Wednesday,Weekday,2020,12,0
84,2020-12-10,8524116,8524.11600000001,Thursday,Weekday,2020,12,0
85,2020-12-11,0,0.0,Friday,Weekday,2020,12,0
86,2020-12-12,8108959,8108.959000000006,Saturday,Weekend,2020,12,0
87,2020-12-13,0,0.0,Sunday,Weekend,2020,12,0
88,2020-12-14,9807422,9807.422,Monday,Weekday,2020,12,0
89,2020-12-15,11016780,11016.78,Tuesday,Weekday,2020,12,0
90,2020-12-16,4352991,4352.990999999999,Wednesday,Weekday,2020,12,0
91,2020-12-17,9152448,9152.448,Thursday,Weekday,2020,12,0
92,2020-12-18,7846304,7846.304000000002,Friday,Weekday,2020,12,0
93,2020-12-19,0,0.0,Saturday,Weekend,2020,12,0
94,2020-12-20,11686756,11686.756,Sunday,Weekend,2020,12,0
95,2020-12-21,2275705,2275.705,Monday,Weekday,2020,12,0
96,2020-12-22,8110887,8110.887000000008,Tuesday,Weekday,2020,12,0
97,2020-12-23,12212155,12212.154999999995,Wednesday,Weekday,2020,12,0
98,2020-12-24,1400107,1400.107,Thursday,Weekday,2020,12,0
99,2020-12-25,2600264,2600.264,Friday,Weekday,2020,12,0
100,2020-12-26,14300372,14300.372000000008,Saturday,Weekend,2020,12,0
101,2020-12-27,2789294,2789.294,Sunday,Weekend,2020,12,0
102,2020-12-28,2610478,2610.478,Monday,Weekday,2020,12,0
103,2020-12-29,4034232,4034.232000000001,Tuesday,Weekday,2020,12,0
104,2020-12-30,13097045,13097.044999999993,Wednesday,Weekday,2020,12,0
105,2020-12-31,7237164,7237.164,Thursday,Weekday,2020,12,0
106,2021-01-01,4699013,4699.012999999999,Friday,Weekday,2021,01,0
107,2021-01-02,2034547,2034.5470000000005,Saturday,Weekend,2021,01,0
108,2021-01-03,9942699,9942.698999999991,Sunday,Weekend,2021,01,0
109,2021-01-04,1516734,1516.734,Monday,Weekday,2021,01,0
110,2021-01-05,5980016,5980.0160000000005,Tuesday,Weekday,2021,01,0
111,2021-01-06,1302688,1302.688,Wednesday,Weekday,2021,01,0
112,2021-01-07,8740937,8740.936999999998,Thursday,Weekday,2021,01,0
113,2021-01-08,4250325,4250.325000000001,Friday,Weekday,2021,01,0
114,2021-01-09,15810289,15810.289000000002,Saturday,Weekend,2021,01,0
115,2021-01-10,18166586,18166.586000000003,Sunday,Weekend,2021,01,0
116,2021-01-11,4306926,4306.925999999998,Monday,Weekday,2021,01,0
117,2021-01-12,2351524,2351.524,Tuesday,Weekday,2021,01,0
118,2021-01-13,8154889,8154.888999999999,Wednesday,Weekday,2021,01,0
119,2021-01-14,11327649,11327.648999999994,Thursday,Weekday,2021,01,0
120,2021-01-15,3108330,3108.33,Friday,Weekday,2021,01,0
121,2021-01-16,2999671,2999.6710000000003,Saturday,Weekend,2021,01,0
122,2021-01-17,10462408,10462.407999999998,Sunday,Weekend,2021,01,0
123,2021-01-18,2577720,2577.72,Monday,Weekday,2021,01,0
124,2021-01-19,7894110,7894.109999999999,Tuesday,Weekday,2021,01,0
125,2021-01-20,6231877,6231.877000000007,Wednesday,Weekday,2021,01,0
126,2021-01-21,11092689,11092.68900000001,Thursday,Weekday,2021,01,0
127,2021-01-22,3946168,3946.167999999999,Friday,Weekday,2021,01,0
128,2021-01-23,2806090,2806.09,Saturday,Weekend,2021,01,0
129,2021-01-24,12508316,12508.316000000006,Sunday,Weekend,2021,01,0
130,2021-01-25,11209875,11209.875000000016,Monday,Weekday,2021,01,0
131,2021-01-26,6352384,6352.384,Tuesday,Weekday,2021,01,0
132,2021-01-27,14321443,14321.443,Wednesday,Weekday,2021,01,0
133,2021-01-28,12014484,12014.484,Thursday,Weekday,2021,01,0
134,2021-01-29,8225794,8225.794000000007,Friday,Weekday,2021,01,0
135,2021-01-30,12914151,12914.151,Saturday,Weekend,2021,01,0
136,2021-01-31,8574385,8574.385,Sunday,Weekend,2021,01,0
137,2021-02-01,9573748,9573.748000000012,Monday,Weekday,2021,02,0
138,2021-02-02,21431406,21431.406,Tuesday,Weekday,2021,02,0
139,2021-02-03,21700003,21700.003,Wednesday,Weekday,2021,02,0
140,2021-02-04,12903399,12903.399,Thursday,Weekday,2021,02,0
141,2021-02-05,9615339,9615.339000000002,Friday,Weekday,2021,02,0
142,2021-02-06,9935230,9935.230000000009,Saturday,Weekend,2021,02,0
143,2021-02-07,16620448,16620.447999999993,Sunday,Weekend,2021,02,0
144,2021-02-08,9172465,9172.465,Monday,Weekday,2021,02,0
145,2021-02-09,9525633,9525.633000000003,Tuesday,Weekday,2021,02,0
146,2021-02-10,11342577,11342.577,Wednesday,Weekday,2021,02,0
147,2021-02-11,3389113,3389.1130000000035,Thursday,Weekday,2021,02,0
148,2021-02-12,4261947,4261.947000000001,Friday,Weekday,2021,02,0
149,2021-02-13,15830398,15830.397999999996,Saturday,Weekend,2021,02,0
150,2021-02-14,21745672,21745.67199999999,Sunday,Weekend,2021,02,0
151,2021-02-15,4958734,4958.734,Monday,Weekday,2021,02,0
152,2021-02-16,16110856,16110.855999999996,Tuesday,Weekday,2021,02,0
153,2021-02-17,10526066,10526.066000000004,Wednesday,Weekday,2021,02,0
154,2021-02-18,711028,711.0279999999999,Thursday,Weekday,2021,02,0
155,2021-02-19,3770348,3770.347999999999,Friday,Weekday,2021,02,0
156,2021-02-20,9113848,9113.848,Saturday,Weekend,2021,02,0
157,2021-02-21,0,0.0,Sunday,Weekend,2021,02,0
158,2021-02-22,0,0.0,Monday,Weekday,2021,02,0
159,2021-02-23,3973740,3973.74,Tuesday,Weekday,2021,02,0
160,2021-02-24,15242857,15242.856999999987,Wednesday,Weekday,2021,02,0
161,2021-02-25,15268623,15268.622999999989,Thursday,Weekday,2021,02,0
162,2021-02-26,2152619,2152.619,Friday,Weekday,2021,02,0
163,2021-02-27,2626901,2626.901,Saturday,Weekend,2021,02,0
164,2021-02-28,0,0.0,Sunday,Weekend,2021,02,0
165,2021-03-01,26449882,26449.88199999999,Monday,Weekday,2021,03,0
166,2021-03-02,12041891,12041.890999999996,Tuesday,Weekday,2021,03,0
167,2021-03-03,15626128,15626.128,Wednesday,Weekday,2021,03,0
168,2021-03-04,7499853,7499.853000000001,Thursday,Weekday,2021,03,0
169,2021-03-05,5606748,5606.748,Friday,Weekday,2021,03,0
170,2021-03-06,15585570,15585.57,Saturday,Weekend,2021,03,0
171,2021-03-07,0,0.0,Sunday,Weekend,2021,03,0
172,2021-03-08,5703992,5703.991999999998,Monday,Weekday,2021,03,0
173,2021-03-09,6479269,6479.269000000002,Tuesday,Weekday,2021,03,0
174,2021-03-10,5943659,5943.658999999998,Wednesday,Weekday,2021,03,0
175,2021-03-11,8951895,8951.895,Thursday,Weekday,2021,03,0
176,2021-03-12,0,0.0,Friday,Weekday,2021,03,0
177,2021-03-13,5311990,5311.990000000001,Saturday,Weekend,2021,03,0
178,2021-03-14,3561772,3561.772,Sunday,Weekend,2021,03,0
179,2021-03-15,14564567,14564.567000000005,Monday,Weekday,2021,03,0
180,2021-03-16,13412834,13412.834,Tuesday,Weekday,2021,03,0
181,2021-03-17,13193081,13193.080999999996,Wednesday,Weekday,2021,03,0
182,2021-03-18,11598695,11598.694999999994,Thursday,Weekday,2021,03,0
183,2021-03-19,7481245,7481.245000000003,Friday,Weekday,2021,03,0
184,2021-03-20,9396997,9396.997000000005,Saturday,Weekend,2021,03,0
185,2021-03-21,7858517,7858.517,Sunday,Weekend,2021,03,0
186,2021-03-22,7326474,7326.474,Monday,Weekday,2021,03,0
187,2021-03-23,5047939,5047.939,Tuesday,Weekday,2021,03,0
188,2021-03-24,12078255,12078.255000000005,Wednesday,Weekday,2021,03,0
189,2021-03-25,8369290,8369.290000000006,Thursday,Weekday,2021,03,0
190,2021-03-26,9786106,9786.106000000009,Friday,Weekday,2021,03,0
