,sPlayed
5,11351.665000000012
12,0.0
19,0.0
26,0.0
33,221.451
40,0.0
47,0.0
54,0.0
61,0.0
68,0.0
75,0.0
82,4179.775000000002
89,11016.78
96,8110.887000000008
103,4034.232000000001
110,5980.0160000000005
117,2351.524
124,7894.109999999999
131,6352.384
138,21431.406
145,9525.633000000003
152,16110.855999999996
159,3973.74
166,12041.890999999996
173,6479.269000000002
180,13412.834
187,5047.939
194,4498.690999999999
201,8795.880000000003
208,22671.54000000001
215,11673.945999999998
222,4162.707
229,12912.632
236,7974.485999999999
243,7441.998000000004
250,5165.612
257,6713.981999999998
264,4486.450000000003
271,15834.72099999999
278,12173.902999999997
285,5828.512999999995
292,35290.45700000001
299,14341.105999999998
306,20987.721999999994
313,8142.000000000008
320,21340.275999999987
327,21309.487999999998
334,23859.847999999987
341,20158.74200000001
348,1797.677
355,2185.693
362,6207.482999999998
